"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr","pred"
"2165",1,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2166",1.2,"North Carolina","South","No Input",10,"Bulk","10",0.708779250836183
"2167",0.5,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2168",0.5,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2169",1,"Minnesota","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"2170",1,"South Carolina","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2171",2,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2172",0.5,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2173",1.2,"Florida","South","Heard it",10,"Bulk","10",0.744725817043376
"2174",0.7,"Ohio","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2175",0.3,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2176",2,"Michigan","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"2177",1,"Idaho","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2178",1,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2179",1,"Texas","South","Heard it",10,"Bulk","10",0.744725817043376
"2180",1.5,"Washington","West","Personal",10,"Not Bulk","10",0.769748766368869
"2181",0.8,"Texas","South","No Input",5,"Not Bulk","5",1.08427224733984
"2182",0.8,"Michigan","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2183",0.3,"Louisiana","South","No Input",10,"Not Bulk","10",0.795351133909905
"2184",0.4,"Oregon","West","No Input",5,"Not Bulk","5",1.08427224733984
"2185",0.875,"Louisiana","South","Personal",40,"Not Bulk","40",0.627976132287176
"2186",2,"Minnesota","Midwest","No Input",5,"Bulk","5",0.997700364266115
"2187",0.6,"California","West","Heard it",40,"Not Bulk","40",0.689525066035405
"2188",2,"Minnesota","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"2189",1,"California","West","Internet",10,"Bulk","10",0.625137833973486
"2190",1.5,"Oregon","West","No Input",10,"Not Bulk","10",0.795351133909905
"2191",0.5,"Michigan","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2192",0.3,"Virginia","South","Personal",10,"Bulk","10",0.683176883295147
"2193",0.1,"Virginia","South","Personal",10,"Bulk","10",0.683176883295147
"2194",1,"Florida","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2195",1,"Oklahoma","South","No Input",10,"Not Bulk","10",0.795351133909905
"2196",0.8,"North Carolina","South","Heard it",10,"Bulk","10",0.744725817043376
"2197",0.125,"Nebraska","Midwest","Internet",40,"Not Bulk","40",0.569937082965515
"2198",1,"Ohio","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2199",1,"Kansas","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2200",0.5,"Oregon","West","Personal",10,"Not Bulk","10",0.769748766368869
"2201",1,"Indiana","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2202",0.5,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2203",1,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"2204",0.1,"Illinois","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2205",0.012,"Texas","South","Personal",10,"Bulk","10",0.683176883295147
"2206",0.6,"New York","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2207",0.6,"Florida","South","No Input",10,"Bulk","10",0.708779250836183
"2208",2,"Illinois","Midwest","Internet",5,"Not Bulk","5",1.00063083047714
"2209",0.7,"Indiana","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2210",1,"Florida","South","Personal",5,"Not Bulk","5",1.0586698797988
"2211",1,"Florida","South","Personal",5,"Not Bulk","5",1.0586698797988
"2212",1,"Florida","South","Personal",5,"Not Bulk","5",1.0586698797988
"2213",0.1,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2214",0.5,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2215",1,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2216",0.3,"Michigan","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2217",1,"Illinois","Midwest","No Input",5,"Bulk","5",0.997700364266115
"2218",1,"California","West","Personal",5,"Bulk","5",0.972097996725079
"2219",0.25,"Texas","South","No Input",40,"Not Bulk","40",0.653578499828212
"2220",1.2,"Louisiana","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2221",0.5,"Oklahoma","South","Personal",10,"Bulk","10",0.683176883295147
"2222",1,"Nevada","West","Personal",10,"Not Bulk","10",0.769748766368869
"2223",1,"South Carolina","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2224",1,"New York","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"2225",0.1,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2226",0.5,"Michigan","Midwest","Personal",10,"Bulk","10",0.683176883295147
"2227",1,"Ohio","Midwest","No Input",5,"Not Bulk","5",1.08427224733984
"2228",0.5,"Nevada","West","Personal",10,"Not Bulk","10",0.769748766368869
"2229",1,"Alaska","West","Personal",10,"Bulk","10",0.683176883295147
"2230",2,"Florida","South","No Input",5,"Not Bulk","5",1.08427224733984
"2231",1.5,"Kansas","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2232",1,"Kansas","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2233",1,"Indiana","Midwest","Internet",5,"Not Bulk","5",1.00063083047714
"2234",0.5,"California","West","Personal",10,"Bulk","10",0.683176883295147
"2235",1,"Kansas","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2236",1.2,"Texas","South","Internet",10,"Bulk","10",0.625137833973486
"2237",1.5,"Illinois","Midwest","Heard it",10,"Bulk","10",0.744725817043376
"2238",1,"Massachusetts","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2239",1,"Illinois","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2240",1,"Oregon","West","No Input",5,"Not Bulk","5",1.08427224733984
"2241",0.7,"Texas","South","No Input",10,"Not Bulk","10",0.795351133909905
"2242",1,"Washington","West","No Input",10,"Not Bulk","10",0.795351133909905
"2243",0.5,"Georgia","South","No Input",10,"Not Bulk","10",0.795351133909905
"2244",0.1,"Nevada","West","Internet",10,"Not Bulk","10",0.711709717047208
"2245",0.5,"Tennessee","South","No Input",10,"Not Bulk","10",0.795351133909905
"2246",1.2,"Washington","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2247",1,"Louisiana","South","Personal",10,"Not Bulk","10",0.769748766368869
"2248",0.5,"California","West","No Input",10,"Bulk","10",0.708779250836182
"2249",1,"Missouri","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
